[2024-07-24 12:47:31,543] CF65 | T0 → PWM0
[2024-08-08 15:34:08,130] CF65 CF67 | T0 → PWM0
[2024-08-08 15:34:35,655] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:35:10,517] CF67 CF65 | T0 → PWM0
[2024-08-08 15:35:37,863] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:36:12,413] CF67 CF65 | T0 → PWM0
[2024-08-08 15:36:40,441] CF65 CF67 | T75 → PWM53379
[2024-08-08 15:37:06,887] CF67 CF65 | T0 → PWM0
[2024-08-08 15:37:34,254] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:38:00,730] CF67 CF65 | T0 → PWM0
[2024-08-08 15:38:27,952] CF67 CF65 | T75 → PWM53379
[2024-08-08 15:38:54,353] CF65 CF67 | T0 → PWM0
[2024-08-08 17:00:42,975] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:04:45,765] CF67 CF65 | T0 → PWM0
[2024-08-08 17:05:16,205] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:09:18,918] CF67 CF65 | T0 → PWM0
[2024-08-08 17:09:49,334] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:13:52,161] CF67 CF65 | T0 → PWM0
[2024-08-08 17:14:23,391] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:16:02,105] CF67 CF65 | T0 → PWM0
[2024-08-08 17:16:30,583] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:18:09,471] CF67 CF65 | T0 → PWM0
[2024-08-08 17:18:37,866] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:20:16,354] CF65 CF67 | T0 → PWM0
[2024-08-08 17:20:45,301] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:21:35,804] CF65 CF67 | T0 → PWM0
[2024-08-08 17:22:03,943] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:22:54,470] CF67 CF65 | T0 → PWM0
[2024-08-08 17:23:22,514] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:24:13,019] CF67 CF65 | T0 → PWM0
[2024-08-08 17:24:41,245] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:25:16,177] CF65 CF67 | T0 → PWM0
[2024-08-08 17:25:44,059] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:26:18,567] CF67 CF65 | T0 → PWM0
[2024-08-08 17:26:45,980] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:27:20,519] CF65 CF67 | T0 → PWM0
[2024-08-08 17:27:48,436] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:28:15,402] CF65 CF67 | T0 → PWM0
[2024-08-08 17:28:43,088] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:29:09,569] CF65 CF67 | T0 → PWM0
[2024-08-08 17:29:37,029] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:30:03,525] CF67 CF65 | T0 → PWM0
[2024-08-08 17:30:31,102] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:34:33,742] CF65 CF67 | T0 → PWM0
[2024-08-08 17:35:04,517] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:39:07,108] CF65 CF67 | T0 → PWM0
[2024-08-08 17:39:37,628] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:43:40,354] CF65 CF67 | T0 → PWM0
[2024-08-08 17:44:11,437] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:45:50,366] CF65 CF67 | T0 → PWM0
[2024-08-08 17:46:18,876] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:47:57,486] CF67 CF65 | T0 → PWM0
[2024-08-08 17:48:26,338] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:50:04,871] CF67 CF65 | T0 → PWM0
[2024-08-08 17:50:33,754] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:51:24,208] CF65 CF67 | T0 → PWM0
[2024-08-08 17:51:52,298] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:52:42,758] CF67 CF65 | T0 → PWM0
[2024-08-08 17:53:10,402] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:54:01,232] CF65 CF67 | T0 → PWM0
[2024-08-08 17:54:29,475] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:55:03,967] CF65 CF67 | T0 → PWM0
[2024-08-08 17:55:31,410] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:56:05,846] CF65 CF67 | T0 → PWM0
[2024-08-08 17:56:33,391] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:57:07,903] CF67 CF65 | T0 → PWM0
[2024-08-08 17:57:35,833] CF67 CF65 | T25 → PWM22722
[2024-08-08 17:58:02,355] CF65 CF67 | T0 → PWM0
[2024-08-08 17:58:29,713] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:58:56,460] CF65 CF67 | T0 → PWM0
[2024-08-08 17:59:23,787] CF65 CF67 | T25 → PWM22722
[2024-08-08 17:59:50,335] CF67 CF65 | T0 → PWM0
[2024-08-08 18:00:18,374] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:04:21,213] CF67 CF65 | T0 → PWM0
[2024-08-08 18:04:51,694] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:08:54,325] CF67 CF65 | T0 → PWM0
[2024-08-08 18:09:24,780] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:13:27,848] CF67 CF65 | T0 → PWM0
[2024-08-08 18:13:58,898] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:15:37,892] CF65 CF67 | T0 → PWM0
[2024-08-08 18:16:06,784] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:17:45,595] CF67 CF65 | T0 → PWM0
[2024-08-08 18:18:13,977] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:19:52,493] CF67 CF65 | T0 → PWM0
[2024-08-08 18:20:21,459] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:21:11,947] CF65 CF67 | T0 → PWM0
[2024-08-08 18:21:39,759] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:22:30,252] CF67 CF65 | T0 → PWM0
[2024-08-08 18:22:57,915] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:23:48,801] CF67 CF65 | T0 → PWM0
[2024-08-08 18:24:16,906] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:24:51,744] CF67 CF65 | T0 → PWM0
[2024-08-08 18:25:19,367] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:25:53,877] CF65 CF67 | T0 → PWM0
[2024-08-08 18:26:21,295] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:26:55,755] CF65 CF67 | T0 → PWM0
[2024-08-08 18:27:23,647] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:27:50,068] CF65 CF67 | T0 → PWM0
[2024-08-08 18:28:17,780] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:28:44,599] CF65 CF67 | T0 → PWM0
[2024-08-08 18:29:11,901] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:29:38,804] CF67 CF65 | T0 → PWM0
[2024-08-08 18:30:06,468] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:34:09,159] CF67 CF65 | T0 → PWM0
[2024-08-08 18:34:39,980] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:38:42,626] CF67 CF65 | T0 → PWM0
[2024-08-08 18:39:13,086] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:43:15,757] CF65 CF67 | T0 → PWM0
[2024-08-08 18:43:47,010] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:45:26,225] CF67 CF65 | T0 → PWM0
[2024-08-08 18:45:54,702] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:47:33,200] CF67 CF65 | T0 → PWM0
[2024-08-08 18:48:01,908] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:49:40,475] CF65 CF67 | T0 → PWM0
[2024-08-08 18:50:09,397] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:50:59,953] CF67 CF65 | T0 → PWM0
[2024-08-08 18:51:27,675] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:52:18,231] CF65 CF67 | T0 → PWM0
[2024-08-08 18:52:45,841] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:53:36,707] CF67 CF65 | T0 → PWM0
[2024-08-08 18:54:04,899] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:54:39,385] CF67 CF65 | T0 → PWM0
[2024-08-08 18:55:06,948] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:55:41,975] CF65 CF67 | T0 → PWM0
[2024-08-08 18:56:09,401] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:56:44,057] CF67 CF65 | T0 → PWM0
[2024-08-08 18:57:11,957] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:57:38,458] CF67 CF65 | T0 → PWM0
[2024-08-08 18:58:06,288] CF65 CF67 | T54.275 → PWM42009
[2024-08-08 18:58:33,257] CF65 CF67 | T0 → PWM0
[2024-08-08 18:59:00,618] CF67 CF65 | T54.275 → PWM42009
[2024-08-08 18:59:27,073] CF65 CF67 | T0 → PWM0
[2024-08-08 18:59:55,221] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:03:58,239] CF65 CF67 | T0 → PWM0
[2024-08-08 19:04:29,306] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:08:32,046] CF65 CF67 | T0 → PWM0
[2024-08-08 19:09:02,644] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:13:05,343] CF67 CF65 | T0 → PWM0
[2024-08-08 19:13:36,394] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:15:15,313] CF67 CF65 | T0 → PWM0
[2024-08-08 19:15:44,173] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:17:22,776] CF67 CF65 | T0 → PWM0
[2024-08-08 19:17:51,116] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:19:29,944] CF67 CF65 | T0 → PWM0
[2024-08-08 19:19:59,239] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:20:49,737] CF67 CF65 | T0 → PWM0
[2024-08-08 19:21:17,444] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:22:08,386] CF65 CF67 | T0 → PWM0
[2024-08-08 19:22:35,984] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:23:26,566] CF65 CF67 | T0 → PWM0
[2024-08-08 19:23:55,176] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:24:29,666] CF65 CF67 | T0 → PWM0
[2024-08-08 19:24:57,222] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:25:31,720] CF65 CF67 | T0 → PWM0
[2024-08-08 19:25:59,149] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:26:33,638] CF67 CF65 | T0 → PWM0
[2024-08-08 19:27:01,552] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:27:28,062] CF65 CF67 | T0 → PWM0
[2024-08-08 19:27:55,548] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:28:22,377] CF65 CF67 | T0 → PWM0
[2024-08-08 19:28:49,698] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:29:16,177] CF65 CF67 | T0 → PWM0
[2024-08-08 19:29:43,787] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:33:46,505] CF67 CF65 | T0 → PWM0
[2024-08-08 19:34:17,311] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:38:20,062] CF67 CF65 | T0 → PWM0
[2024-08-08 19:38:50,682] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:42:53,483] CF65 CF67 | T0 → PWM0
[2024-08-08 19:43:24,580] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:45:03,232] CF67 CF65 | T0 → PWM0
[2024-08-08 19:45:31,741] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:47:10,381] CF65 CF67 | T0 → PWM0
[2024-08-08 19:47:38,856] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:49:17,455] CF67 CF65 | T0 → PWM0
[2024-08-08 19:49:46,579] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:50:37,123] CF67 CF65 | T0 → PWM0
[2024-08-08 19:51:04,794] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:51:55,328] CF67 CF65 | T0 → PWM0
[2024-08-08 19:52:22,999] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:53:13,579] CF65 CF67 | T0 → PWM0
[2024-08-08 19:53:41,805] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:54:16,660] CF65 CF67 | T0 → PWM0
[2024-08-08 19:54:44,666] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:55:19,132] CF67 CF65 | T0 → PWM0
[2024-08-08 19:55:46,591] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:56:21,062] CF67 CF65 | T0 → PWM0
[2024-08-08 19:56:49,030] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:57:15,645] CF65 CF67 | T0 → PWM0
[2024-08-08 19:57:43,572] CF65 CF67 | T75 → PWM53379
[2024-08-08 19:58:10,234] CF65 CF67 | T0 → PWM0
[2024-08-08 19:58:37,566] CF67 CF65 | T75 → PWM53379
[2024-08-08 19:59:03,996] CF65 CF67 | T0 → PWM0
[2024-08-09 11:40:48,830] CF65 CF67 | T25 → PWM22722
[2024-08-09 11:44:51,610] CF65 CF67 | T0 → PWM0
[2024-08-09 11:45:22,235] CF65 CF67 | T25 → PWM22722
[2024-08-09 11:49:24,894] CF67 CF65 | T0 → PWM0
[2024-08-09 11:49:55,579] CF65 CF67 | T25 → PWM22722
[2024-08-09 11:53:58,570] CF65 CF67 | T0 → PWM0
[2024-08-09 11:54:29,677] CF65 CF67 | T25 → PWM22722
[2024-08-09 11:56:08,225] CF65 CF67 | T0 → PWM0
[2024-08-09 11:56:36,736] CF65 CF67 | T25 → PWM22722
[2024-08-09 11:58:15,339] CF65 CF67 | T0 → PWM0
[2024-08-09 11:58:43,671] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:00:22,541] CF65 CF67 | T0 → PWM0
[2024-08-09 12:00:51,786] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:01:42,885] CF67 CF65 | T0 → PWM0
[2024-08-09 12:02:10,622] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:03:01,142] CF65 CF67 | T0 → PWM0
[2024-08-09 12:03:28,807] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:04:19,599] CF65 CF67 | T0 → PWM0
[2024-08-09 12:04:47,838] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:05:22,415] CF67 CF65 | T0 → PWM0
[2024-08-09 12:05:50,014] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:06:24,529] CF65 CF67 | T0 → PWM0
[2024-08-09 12:06:51,885] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:07:26,329] CF67 CF65 | T0 → PWM0
[2024-08-09 12:07:54,286] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:08:20,770] CF67 CF65 | T0 → PWM0
[2024-08-09 12:08:48,197] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:09:14,687] CF67 CF65 | T0 → PWM0
[2024-08-09 12:09:41,939] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:10:08,596] CF65 CF67 | T0 → PWM0
[2024-08-09 12:10:36,045] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:14:39,945] CF67 CF65 | T0 → PWM0
[2024-08-09 12:15:10,423] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:19:13,071] CF67 CF65 | T0 → PWM0
[2024-08-09 12:19:45,052] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:23:47,866] CF65 CF67 | T0 → PWM0
[2024-08-09 12:24:20,527] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:25:59,095] CF65 CF67 | T0 → PWM0
[2024-08-09 12:26:28,243] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:28:06,847] CF67 CF65 | T0 → PWM0
[2024-08-09 12:28:35,900] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:30:14,519] CF65 CF67 | T0 → PWM0
[2024-08-09 12:30:44,133] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:31:35,022] CF65 CF67 | T0 → PWM0
[2024-08-09 12:32:03,245] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:32:53,859] CF67 CF65 | T0 → PWM0
[2024-08-09 12:33:21,924] CF67 CF65 | T25 → PWM22722
[2024-08-09 12:34:12,510] CF67 CF65 | T0 → PWM0
[2024-08-09 12:34:41,136] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:35:15,689] CF67 CF65 | T0 → PWM0
[2024-08-09 12:35:43,494] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:36:18,056] CF65 CF67 | T0 → PWM0
[2024-08-09 12:36:45,822] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:37:20,393] CF67 CF65 | T0 → PWM0
[2024-08-09 12:37:48,604] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:38:15,192] CF67 CF65 | T0 → PWM0
[2024-08-09 12:38:42,861] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:39:09,379] CF67 CF65 | T0 → PWM0
[2024-08-09 12:39:36,885] CF65 CF67 | T25 → PWM22722
[2024-08-09 12:40:03,408] CF67 CF65 | T0 → PWM0
[2024-08-09 12:40:31,911] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 12:44:34,890] CF65 CF67 | T0 → PWM0
[2024-08-09 12:45:07,030] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 12:49:10,242] CF67 CF65 | T0 → PWM0
[2024-08-09 12:49:42,303] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 12:53:45,152] CF67 CF65 | T0 → PWM0
[2024-08-09 12:54:17,934] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 12:55:56,564] CF65 CF67 | T0 → PWM0
[2024-08-09 12:56:25,682] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 12:58:04,268] CF65 CF67 | T0 → PWM0
[2024-08-09 12:58:33,488] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 13:00:12,147] CF65 CF67 | T0 → PWM0
[2024-08-09 13:00:41,763] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 13:01:32,343] CF67 CF65 | T0 → PWM0
[2024-08-09 13:02:00,500] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 13:02:51,250] CF65 CF67 | T0 → PWM0
[2024-08-09 13:03:19,187] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 13:04:09,779] CF65 CF67 | T0 → PWM0
[2024-08-09 13:04:38,397] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 13:05:13,382] CF65 CF67 | T0 → PWM0
[2024-08-09 13:05:41,301] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 13:06:16,202] CF67 CF65 | T0 → PWM0
[2024-08-09 13:06:43,969] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 13:07:18,848] CF65 CF67 | T0 → PWM0
[2024-08-09 14:17:31,929] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:17:58,805] CF65 CF67 | T0 → PWM0
[2024-08-09 14:19:07,255] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:19:33,781] CF67 CF65 | T0 → PWM0
[2024-08-09 14:20:01,151] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:20:27,649] CF65 CF67 | T0 → PWM0
[2024-08-09 14:20:55,129] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:24:57,975] CF67 CF65 | T0 → PWM0
[2024-08-09 14:25:28,588] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:29:31,314] CF65 CF67 | T0 → PWM0
[2024-08-09 14:30:02,252] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:34:04,983] CF65 CF67 | T0 → PWM0
[2024-08-09 14:34:36,020] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:36:14,530] CF65 CF67 | T0 → PWM0
[2024-08-09 14:36:42,883] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 14:38:21,391] CF65 CF67 | T0 → PWM0
[2024-08-09 14:38:49,777] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:40:28,311] CF67 CF65 | T0 → PWM0
[2024-08-09 14:40:57,104] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 14:41:47,576] CF65 CF67 | T0 → PWM0
[2024-08-09 14:42:15,286] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:43:06,138] CF67 CF65 | T0 → PWM0
[2024-08-09 14:43:33,727] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:44:24,359] CF67 CF65 | T0 → PWM0
[2024-08-09 14:44:52,511] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 14:45:26,945] CF65 CF67 | T0 → PWM0
[2024-08-09 14:45:54,794] CF67 CF65 | T54.275 → PWM42009
[2024-08-09 14:46:29,259] CF67 CF65 | T0 → PWM0
[2024-08-09 14:46:56,676] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:47:31,191] CF65 CF67 | T0 → PWM0
[2024-08-09 14:47:59,155] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:48:25,585] CF65 CF67 | T0 → PWM0
[2024-08-09 14:48:52,898] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:49:19,327] CF65 CF67 | T0 → PWM0
[2024-08-09 14:49:46,688] CF65 CF67 | T54.275 → PWM42009
[2024-08-09 14:50:13,225] CF65 CF67 | T0 → PWM0
[2024-08-09 14:50:41,467] CF65 CF67 | T75 → PWM53379
[2024-08-09 14:54:44,111] CF67 CF65 | T0 → PWM0
[2024-08-09 14:55:14,699] CF67 CF65 | T75 → PWM53379
[2024-08-09 14:59:17,420] CF65 CF67 | T0 → PWM0
[2024-08-09 14:59:47,952] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:03:50,616] CF67 CF65 | T0 → PWM0
[2024-08-09 15:04:21,549] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:06:00,441] CF67 CF65 | T0 → PWM0
[2024-08-09 15:06:28,845] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:08:07,761] CF67 CF65 | T0 → PWM0
[2024-08-09 15:08:36,413] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:10:15,410] CF67 CF65 | T0 → PWM0
[2024-08-09 15:10:44,227] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:11:34,769] CF67 CF65 | T0 → PWM0
[2024-08-09 15:12:02,854] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:12:53,735] CF67 CF65 | T0 → PWM0
[2024-08-09 15:13:21,700] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:14:12,284] CF65 CF67 | T0 → PWM0
[2024-08-09 15:14:40,548] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:15:14,994] CF65 CF67 | T0 → PWM0
[2024-08-09 15:15:42,565] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:16:17,071] CF67 CF65 | T0 → PWM0
[2024-08-09 15:16:44,849] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:17:19,336] CF65 CF67 | T0 → PWM0
[2024-08-09 15:17:47,734] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:18:14,205] CF67 CF65 | T0 → PWM0
[2024-08-09 15:18:41,520] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:19:08,231] CF65 CF67 | T0 → PWM0
[2024-08-09 15:19:35,503] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:20:02,009] CF65 CF67 | T0 → PWM0
[2024-08-09 15:20:29,822] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:24:32,542] CF67 CF65 | T0 → PWM0
[2024-08-09 15:25:03,001] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:29:05,715] CF65 CF67 | T0 → PWM0
[2024-08-09 15:29:36,180] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:33:38,861] CF67 CF65 | T0 → PWM0
[2024-08-09 15:34:09,888] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:35:48,439] CF65 CF67 | T0 → PWM0
[2024-08-09 15:36:16,867] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:37:55,749] CF67 CF65 | T0 → PWM0
[2024-08-09 15:38:24,136] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:40:02,908] CF67 CF65 | T0 → PWM0
[2024-08-09 15:40:32,060] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:41:22,550] CF65 CF67 | T0 → PWM0
[2024-08-09 15:41:50,307] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:42:40,788] CF67 CF65 | T0 → PWM0
[2024-08-09 15:43:08,885] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:43:59,800] CF67 CF65 | T0 → PWM0
[2024-08-09 15:44:28,127] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:45:02,586] CF67 CF65 | T0 → PWM0
[2024-08-09 15:45:30,145] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:46:05,021] CF67 CF65 | T0 → PWM0
[2024-08-09 15:46:32,801] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:47:07,232] CF67 CF65 | T0 → PWM0
[2024-08-09 15:47:35,274] CF67 CF65 | T75 → PWM53379
[2024-08-09 15:48:01,717] CF67 CF65 | T0 → PWM0
[2024-08-09 15:48:29,144] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:48:56,040] CF65 CF67 | T0 → PWM0
[2024-08-09 15:49:23,591] CF65 CF67 | T75 → PWM53379
[2024-08-09 15:49:50,180] CF65 CF67 | T0 → PWM0
[2024-08-09 17:28:14,115] CF67 CF65 | T25 → PWM22722
[2024-08-09 17:32:17,038] CF67 CF65 | T0 → PWM0
[2024-08-10 10:46:41,481] CF67 CF65 | T25 → PWM22722
[2024-08-10 10:50:44,105] CF67 CF65 | T0 → PWM0
[2024-08-10 10:51:14,652] CF65 CF67 | T25 → PWM22722
[2024-08-10 10:55:17,355] CF67 CF65 | T0 → PWM0
[2024-08-10 10:55:48,516] CF65 CF67 | T25 → PWM22722
[2024-08-10 10:57:27,157] CF67 CF65 | T0 → PWM0
[2024-08-10 10:57:55,764] CF67 CF65 | T25 → PWM22722
[2024-08-10 10:59:34,465] CF65 CF67 | T0 → PWM0
[2024-08-10 11:00:02,977] CF65 CF67 | T25 → PWM22722
[2024-08-10 11:01:41,909] CF67 CF65 | T0 → PWM0
[2024-08-10 11:02:10,895] CF65 CF67 | T25 → PWM22722
[2024-08-10 11:03:01,447] CF67 CF65 | T0 → PWM0
[2024-08-10 11:03:29,253] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:04:19,764] CF67 CF65 | T0 → PWM0
[2024-08-10 11:04:47,777] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:05:38,341] CF65 CF67 | T0 → PWM0
[2024-08-10 11:06:06,536] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:06:41,082] CF65 CF67 | T0 → PWM0
[2024-08-10 11:07:08,701] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:07:43,473] CF67 CF65 | T0 → PWM0
[2024-08-10 11:08:11,002] CF65 CF67 | T25 → PWM22722
[2024-08-10 11:08:45,447] CF65 CF67 | T0 → PWM0
[2024-08-10 11:09:13,936] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:09:40,453] CF67 CF65 | T0 → PWM0
[2024-08-10 11:10:07,852] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:10:34,450] CF67 CF65 | T0 → PWM0
[2024-08-10 11:11:01,817] CF67 CF65 | T25 → PWM22722
[2024-08-10 11:11:28,424] CF67 CF65 | T0 → PWM0
